"map_code","map","columns_xl","columns_r","total","n_instructions","difference","n_counties","max_count"
"Map6","Map6_Early_Holocene_Notched_Bifurcate_Stemmed","BV, BW, BX, BY, BZ, CA, CB, CC, CD, CE, CF, CG, CH, CI, CJ, CK, CL, CM, CN, CO, CP, CQ, CR, CS, CT, CU, CV, CW, CX, CY, CZ, DA, DB, DC","SAN_PATRICE_var._Dixon, HARDAWAY_SIDE_NOTCHED, BOLEN_SIDE_NOTCHED, UNTYPED_AND_TAYLOR_SIDE_NOTCHED, SANTA_FE, CACHE_RIVER, BIG_SANDY, BRECKENRiDGE, UNION, CHIPOLA, SAN_PATRICE_no_var., GILCREST, FAIRLAND, SAN_PATRICE_var._Keithville, SAN_PATRICE_var._Leaf_River, SAN_PATRICE_var._GENEILL, PALMER_CORNER_NOTCHED, STILLWELL, DECATUR, LOST_LAKE, PINE_TREE, THEBES, UNTYPED_AND_KIRK_CORNER_NOTCHED, DOVETAIL_ST._CHARLES, RICE_LOBED, HARDIN, JUDE_CAVE_SPRING, KANAWHA, MACCORKLE, LECROY, ST._ALBANS, BIFURCATE, KIRK_SERRATED, KIRK_STEMMED",29832,29831,1,876,802
"Map6a","Map6a_Side_Notched","BV, BW, BX, BY, BZ, CA, CB, CC, CD, CE","SAN_PATRICE_var._Dixon, HARDAWAY_SIDE_NOTCHED, BOLEN_SIDE_NOTCHED, UNTYPED_AND_TAYLOR_SIDE_NOTCHED, SANTA_FE, CACHE_RIVER, BIG_SANDY, BRECKENRiDGE, UNION, CHIPOLA",5439,5439,0,345,603
"Map6b","Map6b_Corner_Notched","CG, CH, CI, CJ, CK, CL, CM, CN, CO, CP, CQ, CR, CS, CT, CU, CV","GILCREST, FAIRLAND, SAN_PATRICE_var._Keithville, SAN_PATRICE_var._Leaf_River, SAN_PATRICE_var._GENEILL, PALMER_CORNER_NOTCHED, STILLWELL, DECATUR, LOST_LAKE, PINE_TREE, THEBES, UNTYPED_AND_KIRK_CORNER_NOTCHED, DOVETAIL_ST._CHARLES, RICE_LOBED, HARDIN, JUDE_CAVE_SPRING",18310,18309,1,677,707
"Map6c","Map6c_Bifurcate","CW, CX, CY, CZ, DA","KANAWHA, MACCORKLE, LECROY, ST._ALBANS, BIFURCATE",4798,4798,0,302,168
"Map6d","Map6d_Kirk_Serrated","DB","KIRK_SERRATED",265,265,0,59,43
"Map6e","Map6e_Kirk_Stemmed","DC","KIRK_STEMMED",503,503,0,121,34
"Map6f","Map6f_San_Patrice_No_Variety","CF","SAN_PATRICE_no_var.",517,517,0,102,53
"Map7","Map7_Unusual_Tool_Forms","DU, DV, DW, DX, DY, DZ, EA, EB, EC","CRESCENT, EDGEFIELD_SCRAPER, END_SCRAPER, CFG_ADZE, LIMACES, PRISMATIC_BLADES_CORES, PIECES_ESQUILLEES, GROUNDSTONE_GROOVED_ABRADERS, BONE_IVORY_POINTS_RODS",24513,24513,0,342,2633
"Map7a","Map7a_Crescents","DU","CRESCENT",2804,2804,0,39,1500
"Map7b","Map7b_Hafted_Knives","DV","EDGEFIELD_SCRAPER",220,220,0,20,117
"Map7c","Map7c_End_Scrapers","DW","END_SCRAPER",12750,12750,0,201,1802
"Map7d","Map7d_Adzes","DX","CFG_ADZE",870,870,0,69,263
"Map7e","Map7e_Limaces","DY","LIMACES",155,155,0,6,108
"Map7f","Map7f_Prismatic_Blades_Cores","DZ","PRISMATIC_BLADES_CORES",4609,4609,0,65,1659
"Map7g","Map7g_Pieces_Esquillees","EA","PIECES_ESQUILLEES",2499,2499,0,27,1046
"Map7h","Map7h_Groundstone_Abraders","EB","GROUNDSTONE_GROOVED_ABRADERS",311,311,0,41,42
"Map7i","Map7i_Bone_Ivory_Tools","EC","BONE_IVORY_POINTS_RODS",295,295,0,40,99
